timestamp,solar_wind_speed,solar_wind_density,magnetic_field,xray_flux,proton_flux,geomagnetic_index
2025-07-20T00:00:00Z,398.85,8.41,9.48,1.235e-07,1.97,2.1
2025-07-20T00:05:00Z,406.66,8.36,9.52,1.226e-07,2.11,2.9
2025-07-20T00:10:00Z,413.23,8.52,9.38,1.189e-07,2.17,3.1
2025-07-20T00:15:00Z,412.25,8.37,9.95,1.187e-07,2.12,2.9
2025-07-20T00:20:00Z,422.8,8.24,9.95,1.292e-07,2.4,2.5
2025-07-20T00:25:00Z,424.18,7.53,8.8,1.269e-07,2.11,3.2
2025-07-20T00:30:00Z,428.68,7.58,10.23,1.269e-07,2.34,2.9
2025-07-20T00:35:00Z,427.91,8.5,10.18,1.356e-07,2.54,3.2
2025-07-20T00:40:00Z,425.49,7.61,9.77,1.383e-07,2.42,3.8
2025-07-20T00:45:00Z,427.32,7.28,10.29,1.448e-07,2.63,3.5
2025-07-20T00:50:00Z,448.51,7.63,9.42,1.370e-07,2.77,2.9
2025-07-20T00:55:00Z,440.43,7.65,9.87,1.451e-07,2.76,4.1
2025-07-20T01:00:00Z,448.0,7.05,9.77,1.392e-07,2.88,3.3
2025-07-20T01:05:00Z,445.17,7.55,9.7,1.437e-07,2.38,3.2
2025-07-20T01:10:00Z,443.67,7.19,10.45,1.469e-07,2.85,3.6
2025-07-20T01:15:00Z,459.17,7.23,10.06,1.437e-07,3.03,3.7
2025-07-20T01:20:00Z,462.35,6.57,10.7,1.487e-07,3.21,3.7
2025-07-20T01:25:00Z,450.22,5.82,9.82,1.593e-07,3.11,3.9
2025-07-20T01:30:00Z,436.92,6.53,10.06,1.511e-07,2.86,3.8
2025-07-20T01:35:00Z,471.05,5.44,9.62,1.623e-07,2.94,3.7
2025-07-20T01:40:00Z,459.1,5.14,9.82,1.511e-07,3.25,3.8
2025-07-20T01:45:00Z,477.39,5.69,10.21,1.521e-07,3.09,4.0
2025-07-20T01:50:00Z,473.64,4.51,9.99,1.631e-07,3.46,4.1
2025-07-20T01:55:00Z,460.37,4.89,9.01,1.626e-07,3.16,4.5
2025-07-20T02:00:00Z,455.09,5.12,8.8,1.611e-07,3.28,4.2
2025-07-20T02:05:00Z,471.31,4.75,8.89,1.667e-07,3.37,4.1
2025-07-20T02:10:00Z,453.61,5.16,9.27,1.692e-07,3.55,4.2
2025-07-20T02:15:00Z,460.72,5.51,9.23,1.655e-07,3.35,4.4
2025-07-20T02:20:00Z,458.34,4.53,9.5,1.657e-07,3.0,4.1
2025-07-20T02:25:00Z,457.94,3.82,9.26,1.724e-07,3.18,4.2
2025-07-20T02:30:00Z,452.99,3.26,8.98,1.703e-07,3.25,4.1
2025-07-20T02:35:00Z,456.68,3.59,8.83,1.766e-07,3.28,4.1
2025-07-20T02:40:00Z,450.78,4.91,7.8,1.760e-07,3.38,3.9
2025-07-20T02:45:00Z,463.72,3.68,9.31,1.713e-07,3.52,3.8
2025-07-20T02:50:00Z,440.52,3.65,8.17,1.754e-07,3.05,4.5
2025-07-20T02:55:00Z,442.05,4.43,7.74,1.766e-07,4.11,3.6
2025-07-20T03:00:00Z,428.57,3.25,8.19,1.794e-07,3.75,3.8
2025-07-20T03:05:00Z,424.67,3.29,8.36,1.789e-07,3.1,3.8
2025-07-20T03:10:00Z,445.47,4.56,7.94,1.788e-07,3.25,3.5
2025-07-20T03:15:00Z,431.31,3.77,7.8,1.754e-07,3.27,3.5
2025-07-20T03:20:00Z,418.18,3.87,6.5,1.766e-07,3.59,4.1
2025-07-20T03:25:00Z,424.39,4.09,7.11,1.750e-07,3.36,4.1
2025-07-20T03:30:00Z,428.05,3.9,8.46,1.790e-07,3.62,3.7
2025-07-20T03:35:00Z,414.51,4.9,7.58,1.724e-07,3.4,3.7
2025-07-20T03:40:00Z,418.67,3.16,5.92,1.701e-07,3.46,3.4
2025-07-20T03:45:00Z,411.23,3.56,6.19,1.697e-07,3.53,3.5
2025-07-20T03:50:00Z,412.44,4.47,6.45,1.867e-07,3.42,3.1
2025-07-20T03:55:00Z,396.33,3.92,5.51,1.808e-07,3.48,3.2
2025-07-20T04:00:00Z,390.79,4.55,6.92,1.802e-07,3.31,3.0
2025-07-20T04:05:00Z,391.96,3.9,6.04,1.802e-07,3.76,3.4
2025-07-20T04:10:00Z,396.84,4.35,6.22,1.740e-07,3.43,3.2
2025-07-20T04:15:00Z,378.54,5.88,6.04,1.700e-07,3.45,2.8
2025-07-20T04:20:00Z,380.85,5.31,5.83,1.690e-07,3.08,3.1
2025-07-20T04:25:00Z,387.5,6.22,6.26,1.686e-07,3.43,2.2
2025-07-20T04:30:00Z,386.36,5.6,4.95,1.885e-07,3.38,2.1
2025-07-20T04:35:00Z,372.27,5.31,5.33,1.756e-07,3.49,2.2
2025-07-20T04:40:00Z,369.07,6.79,4.83,1.784e-07,3.22,2.3
2025-07-20T04:45:00Z,368.47,6.14,4.67,1.856e-07,3.3,2.4
2025-07-20T04:50:00Z,355.12,5.91,5.43,1.754e-07,3.19,2.3
2025-07-20T04:55:00Z,362.24,6.45,5.14,1.744e-07,3.22,2.5
2025-07-20T05:00:00Z,353.66,6.28,4.35,1.709e-07,2.82,2.5
2025-07-20T05:05:00Z,351.71,7.69,5.55,1.738e-07,2.66,2.0
2025-07-20T05:10:00Z,349.18,6.35,4.44,1.742e-07,2.83,1.8
2025-07-20T05:15:00Z,341.64,8.17,4.4,1.676e-07,2.8,2.3
2025-07-20T05:20:00Z,340.38,7.7,4.68,1.745e-07,3.1,1.7
2025-07-20T05:25:00Z,353.32,7.22,4.16,1.756e-07,2.94,1.8
2025-07-20T05:30:00Z,333.37,8.05,4.0,1.639e-07,2.59,1.8
2025-07-20T05:35:00Z,324.83,8.09,4.26,1.644e-07,2.88,1.9
2025-07-20T05:40:00Z,336.11,7.7,4.42,1.585e-07,2.55,1.4
2025-07-20T05:45:00Z,340.94,8.26,4.12,1.704e-07,2.6,1.4
2025-07-20T05:50:00Z,330.38,8.61,4.28,1.706e-07,2.35,1.5
2025-07-20T05:55:00Z,339.54,8.29,4.04,1.534e-07,2.61,1.6
2025-07-20T06:00:00Z,349.27,9.53,3.89,1.603e-07,2.39,1.9
2025-07-20T06:05:00Z,326.86,8.69,3.42,1.461e-07,1.93,0.9
2025-07-20T06:10:00Z,350.01,8.05,3.91,1.517e-07,2.39,0.9
